Name,Completed,nOrigCls,nOrigVar,real_time,user_time
068c64314f0f8405bc28bb4c52647145-sokoban-p20.sas.cr.27,Success,852527,134176,4.906,4.456
0697524f77ccd503f7e5fe15f23a1268-crafted_n12_d6_c4_num27,Success,15834028,56064,1029.628,1007.631
069f7d519e820f6b879f880703907bb3-SGI_30_60_28_40_2-dir.shuffled-as.sat03-124-sc2002,Success,71206,840,0.455,0.419
06a36581f14e399a76a5110449ebe739-driverlog2_v01a.renamed-as.sat05-3961,Success,12762,642,0.207,0.128
06d2543c151c2478fde159c6dc0424ac-udiv45prop,Success,53632,18162,70.663,37.031
06d96f79264e9991a5a0a417c401657a-g2-mult1.c.50.smt2-cvc4,Success,1052470,256368,15.307,11.895
06e46ab0acac57a61638cbb741949a98-complete-500-0.1-1-9876543215001,Success,73331,1000,0.659,0.569
06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10,Success,647045,134780,8.567,4.331
06e997650b24ac5b5f87c1c64f4a5dcb-edn_9789_8.cnf_0.51000000.unsat,Success,791904,486400,120.284,68.575
06f538d7af257560476f9100e36d4445-gcdmax16bits_22,Success,386302,129652,17.361,8.042
0701a5b57f9b37c5fcb77463c8582693-T84.2.0,Success,10804148,3130396,203.091,191.526
070fde310eca4ddf6967896052efcb30-at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin,Success,246063,81672,1.023,0.788
072785fd927ff0fd180ce8b9cc00078f-20180321_140826713_p_cnf_320_1120,Success,1120,320,0.005,0.001
073c28dfd3204f4c51e03c297ac841c1-mod2c-rand3bip-unsat-120-3.shuffled-as.sat05-2340,Success,640,160,0.004,0.002
075c4fe7ae4cef57f1a4c00e58142e23-x1.1_64.shuffled-as.sat03-1585,Success,506,190,0.004,0
075e1eef00500b25ceb5ea4823ccf1b0-3col140_5_1.shuffled,Success,1160,280,0.274,0.141
076305ce31dd18724a3de91045800acc-26_stack_cas_longest_true-unreach-call.i-cbmc-u2-sc2016,Success,35973010,7807714,1122.997,1081.307
07682e22f82f9257d44b45777ac06168-lksat-n900-m3357-k3-l5-s241765501.used-as.sat04-936,Success,3357,900,0.009,0.002
076d4d6f83306ee69c35e3c99e30d8f8-x2_16.shuffled,Success,122,46,0.003,0
076fba8945d3a54a06f326474477077d-mrpp_6x6#12_9,Success,25072,4412,1.015,0.463
0779cddacfa34241cdf579cb2370ab8e-instance_n8_i9_pp_ci_ce,Success,289842,24336,8.291,4.236
0779ed19ae69bf464cce003d1a573246-008,Success,69677,4128,0.183,0.112
07851afab30a10e44c8c3a2ae7806177-connm-ue-csp-sat-n1200-d0.00-s1415961664.shuffled-as.sat05-529,Success,14892,1200,0.031,0.018
079b400eede86df1f1ffd6a3c303278b-hypercube5.shuffled-as.sat03-1435,Success,512,80,0.005,0.002
079fec8d04a6ee936227ea90ea0903bf-tseitingrid6x175_shuffled,Success,8400,2100,0.02,0.009
07b476c83150d3cb7e08f5d045e255ab-marg5x5.shuffled-as.sat03-1455,Success,512,105,0.004,0
07bbbb292324c8d8baeb232e144349fa-rand_net40-60-1.shuffled,Success,14321,4800,0.23,0.131
07c3cce524e2b85d8315ac4397ef08c4-puzzle47_sat,Success,133625,35961,188.789,87.418
07c50b89d97a55b6e1629999a445a2ba-ctl_4201_555_unsat_pre,Success,141683,14756,0.605,0.476
07cb45c60089b9008bf3118591a99bf9-hidden-k3-s0-r5-n700-03-S1609878926.shuffled-as.sat05-487,Success,3500,700,0.009,0.007
07d20a83feca9295e862a7d583da5971-UTI-20-10t1,Success,626941,238008,7.318,4.569
07e851c74295f7ddf472820c0f0164e8-x2_72.shuffled-as.sat03-1604,Success,570,214,0.005,0.001
07f5f3ca046261c3819c5c888ac837e5-mod2c-rand3bip-unsat-105-3.shuffled-as.sat05-2325,Success,560,140,0.005,0.002
08063f5baf6655656a300c946aaaca60-gt-ordering-unsat-gt-045.sat05-1310.reshuffled-07,Success,86175,2025,0.194,0.107
080896c437245ac25eb6d3ad6df12c4f-bv-term-small-rw_1492.smt2,Success,24949,8204,29.787,15.13
